participant_id,name,age,gender,education,district,taluka,family_income,below_poverty_line,course_enrolled,training_center_id,enrollment_date,current_status,assessment_score,certified,certification_date,placement_status,company_name,job_role,salary_offered,placement_date,job_location,training_satisfaction,would_recommend
PART_00001,Preeti Chopra 10,29,Male,Post Graduate,Akola,Taluka_1,5-10 Lakhs,Yes,Automotive Mechanic,TC_0153,2025-04-23,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00002,Prakash More 91,31,Female,Post Graduate,Jalgaon,Taluka_4,Below 1 Lakh,No,Electrician Training,TC_0161,2026-02-01,Ongoing,,No,,Not Applicable,,,,,,3.0,Maybe
PART_00003,Ramesh Jadhav 66,39,Male,Post Graduate,Latur,Taluka_4,1-3 Lakhs,No,Medical Lab Technology,TC_0102,2025-11-23,Completed,74.0,No,,Self Employed,,,,,,3.0,Yes
PART_00004,Shweta Bhatt 15,22,Female,Diploma,Parbhani,Taluka_2,5-10 Lakhs,Yes,Mobile Repair,TC_0382,2026-06-27,Ongoing,,No,,Not Applicable,,,,,,1.0,No
PART_00005,Kavita Rao 86,31,Male,Diploma,Bhiwandi,Taluka_10,Above 10 Lakhs,Yes,CNC Operation,TC_0450,2025-03-07,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00006,Mohan Rao 35,30,Female,Graduate,Solapur,Taluka_9,1-3 Lakhs,No,Mobile Repair,TC_0307,2025-02-17,Completed,73.0,No,,Placed,Narayana Health,Digital Marketing Executive,67896.0,,Osmanabad,5.0,No
PART_00007,Dinesh Shinde 53,43,Other,10th Pass,Amravati,Taluka_9,Above 10 Lakhs,Yes,Full Stack Development,TC_0067,2025-02-10,Ongoing,,No,,Not Applicable,,,,,,3.0,Yes
PART_00008,Anjali Reddy 69,36,Other,12th Pass,Dhule,Taluka_6,Below 1 Lakh,Yes,Retail Management,TC_0033,2025-01-22,Ongoing,,No,,Not Applicable,,,,,,4.0,Maybe
PART_00009,Anil Kamble 72,23,Female,Post Graduate,Kolhapur,Taluka_3,1-3 Lakhs,Yes,Food Processing,TC_0183,2025-05-10,Assessed,69.0,No,,Not Applicable,,,,,,,
PART_00010,Rekha Pillai 38,44,Other,Graduate,Pune,Taluka_3,3-5 Lakhs,No,Retail Management,TC_0244,2026-06-05,Certified,45.0,Yes,2026-11-30,Not Placed,,,,,,,
PART_00011,Manoj Tiwari 76,19,Other,Post Graduate,Ahmednagar,Taluka_3,5-10 Lakhs,Yes,Welding Technology,TC_0336,2026-05-28,Ongoing,,No,,Not Applicable,,,,,,4.0,No
PART_00012,Ramesh Jadhav 61,26,Other,Diploma,Mumbai,Taluka_9,3-5 Lakhs,Yes,Welding Technology,TC_0269,2026-03-03,Completed,78.0,No,,Not Placed,,,,,,4.0,Yes
PART_00013,Kavita Rao 1,30,Female,Graduate,Dhule,Taluka_9,1-3 Lakhs,No,Customer Service,TC_0076,2026-06-20,Completed,95.0,No,,Placed,Vedantu,Quality Analyst,62764.0,,Dhule,5.0,Yes
PART_00014,Suresh Yadav 22,34,Other,Graduate,Parbhani,Taluka_10,1-3 Lakhs,No,Food Processing,TC_0455,2026-03-27,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00015,Dinesh Shinde 38,21,Other,Diploma,Sangli,Taluka_2,3-5 Lakhs,No,Cloud Computing,TC_0244,2026-03-23,Completed,76.0,No,,Placed,Reliance Jio,Nurse,50019.0,,Nanded,2.0,No
PART_00016,Rekha Pillai 55,43,Female,Diploma,Jalgaon,Taluka_2,3-5 Lakhs,No,Beauty & Wellness,TC_0311,2026-06-02,Completed,57.0,No,,Placed,HCL,Welder,75602.0,,Satara,3.0,Yes
PART_00017,Anjali Reddy 14,35,Other,12th Pass,Thane,Taluka_6,1-3 Lakhs,Yes,Automotive Mechanic,TC_0341,2026-06-08,Assessed,64.0,No,,Not Applicable,,,,,,,
PART_00018,Mohan Rao 48,26,Other,12th Pass,Amravati,Taluka_9,Above 10 Lakhs,Yes,Mobile Repair,TC_0256,2025-04-22,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00019,Rekha Pillai 37,23,Female,10th Pass,Parbhani,Taluka_7,Above 10 Lakhs,No,Automotive Mechanic,TC_0342,2026-02-26,Ongoing,,No,,Not Applicable,,,,,,4.0,Yes
PART_00020,Prakash More 100,32,Other,Diploma,Nashik,Taluka_5,Below 1 Lakh,No,Beauty & Wellness,TC_0265,2026-01-21,Completed,90.0,No,,Placed,Axis Bank,Machine Learning Engineer,75724.0,,Parbhani,3.0,Maybe
PART_00021,Laxmi Hegde 75,29,Male,10th Pass,Sangli,Taluka_5,Below 1 Lakh,No,Data Analytics,TC_0005,2026-03-16,Completed,40.0,No,,Further Studies,,,,,,5.0,Maybe
PART_00022,Meera Nair 31,42,Female,12th Pass,Kolhapur,Taluka_9,5-10 Lakhs,Yes,Automotive Mechanic,TC_0369,2026-03-15,Ongoing,,No,,Not Applicable,,,,,,5.0,No
PART_00023,Sunita Kaur 25,27,Male,Diploma,Jalna,Taluka_7,Above 10 Lakhs,Yes,Warehouse Management,TC_0037,2025-07-24,Certified,70.0,Yes,2025-10-24,Placed,Zerodha,Software Developer,30003.0,2026-01-17,Amravati,,
PART_00024,Prakash More 7,42,Male,Diploma,Nagpur,Taluka_2,Above 10 Lakhs,Yes,Food Processing,TC_0324,2025-02-27,Ongoing,,No,,Not Applicable,,,,,,1.0,No
PART_00025,Nitin Bhosale 22,40,Other,10th Pass,Chandrapur,Taluka_10,5-10 Lakhs,No,Warehouse Management,TC_0427,2026-02-13,Ongoing,,No,,Not Applicable,,,,,,3.0,No
PART_00026,Geeta Sawant 39,23,Male,Diploma,Pune,Taluka_1,Above 10 Lakhs,Yes,Full Stack Development,TC_0491,2025-02-07,Completed,81.0,No,,Placed,TCS,Retail Associate,41175.0,,Solapur,1.0,Yes
PART_00027,Sneha Deshmukh 79,37,Male,Graduate,Jalna,Taluka_9,5-10 Lakhs,Yes,Data Analytics,TC_0299,2025-02-25,Assessed,50.0,No,,Not Applicable,,,,,,,
PART_00028,Pooja Joshi 20,31,Other,Graduate,Amravati,Taluka_5,3-5 Lakhs,No,Electrician Training,TC_0174,2025-02-06,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00029,Suresh Yadav 100,19,Other,Graduate,Bhiwandi,Taluka_5,1-3 Lakhs,No,CNC Operation,TC_0065,2025-01-16,Completed,54.0,No,,Not Placed,,,,,,3.0,Yes
PART_00030,Rajesh Kumar 61,44,Female,Diploma,Amravati,Taluka_6,Above 10 Lakhs,Yes,CNC Operation,TC_0188,2026-03-07,Certified,99.0,Yes,2026-08-26,Not Placed,,,,,,,
PART_00031,Shweta Bhatt 26,40,Female,10th Pass,Thane,Taluka_6,5-10 Lakhs,No,Electrician Training,TC_0160,2025-03-29,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00032,Neha Dubey 55,22,Male,Diploma,Jalgaon,Taluka_10,Above 10 Lakhs,No,Warehouse Management,TC_0246,2025-03-23,Ongoing,,No,,Not Applicable,,,,,,5.0,Maybe
PART_00033,Pooja Joshi 54,41,Male,Graduate,Jalgaon,Taluka_7,Above 10 Lakhs,Yes,Food Processing,TC_0274,2025-03-07,Certified,56.0,Yes,2025-08-29,Placed,Apollo Hospitals,Sales Executive,58165.0,2025-09-02,Nagpur,,
PART_00034,Ashok Pawar 38,28,Female,10th Pass,Mumbai,Taluka_5,Below 1 Lakh,Yes,Customer Service,TC_0098,2025-08-21,Ongoing,,No,,Not Applicable,,,,,,5.0,Yes
PART_00035,Sneha Deshmukh 82,23,Other,Graduate,Nagpur,Taluka_4,Below 1 Lakh,Yes,Automotive Mechanic,TC_0169,2026-04-04,Completed,66.0,No,,Placed,Byju's,Digital Marketing Executive,58296.0,,Satara,5.0,Maybe
PART_00036,Dinesh Shinde 93,29,Other,Diploma,Aurangabad,Taluka_6,1-3 Lakhs,No,CNC Operation,TC_0447,2026-01-05,Completed,40.0,No,,Not Placed,,,,,,2.0,Yes
PART_00037,Prakash More 91,30,Female,Post Graduate,Bhiwandi,Taluka_10,3-5 Lakhs,No,Warehouse Management,TC_0002,2026-07-17,Certified,86.0,Yes,2026-12-28,Not Placed,,,,,,,
PART_00038,Usha Menon 78,22,Other,Post Graduate,Nashik,Taluka_2,3-5 Lakhs,No,Mobile Repair,TC_0097,2025-01-12,Ongoing,,No,,Not Applicable,,,,,,5.0,Maybe
PART_00039,Dinesh Shinde 62,33,Male,Diploma,Thane,Taluka_9,Above 10 Lakhs,Yes,Medical Lab Technology,TC_0288,2025-12-10,Completed,92.0,No,,Not Placed,,,,,,1.0,Yes
PART_00040,Anjali Reddy 50,25,Other,Post Graduate,Dhule,Taluka_5,Above 10 Lakhs,Yes,Beauty & Wellness,TC_0151,2025-09-22,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00041,Ashok Pawar 63,18,Female,Diploma,Jalgaon,Taluka_5,3-5 Lakhs,Yes,Welding Technology,TC_0080,2025-09-04,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00042,Suresh Yadav 4,36,Male,Graduate,Pune,Taluka_9,Above 10 Lakhs,No,Customer Service,TC_0439,2025-11-09,Certified,73.0,Yes,2026-02-25,Placed,Razorpay,DevOps Engineer,51667.0,2026-03-18,Chandrapur,,
PART_00043,Deepa Iyer 75,34,Female,Graduate,Parbhani,Taluka_1,5-10 Lakhs,Yes,Data Analytics,TC_0429,2025-12-31,Completed,54.0,No,,Placed,Byju's,Fitter,68287.0,,Solapur,5.0,Maybe
PART_00044,Pooja Joshi 27,38,Other,Graduate,Solapur,Taluka_5,3-5 Lakhs,No,Welding Technology,TC_0115,2026-01-29,Assessed,81.0,No,,Not Applicable,,,,,,,
PART_00045,Manoj Tiwari 20,34,Female,Post Graduate,Sangli,Taluka_10,Above 10 Lakhs,Yes,Digital Marketing,TC_0421,2025-09-22,Assessed,71.0,No,,Not Applicable,,,,,,,
PART_00046,Deepa Iyer 68,41,Female,12th Pass,Jalna,Taluka_7,Above 10 Lakhs,Yes,Beauty & Wellness,TC_0025,2026-04-15,Ongoing,,No,,Not Applicable,,,,,,1.0,Yes
PART_00047,Arun Kulkarni 23,27,Female,10th Pass,Parbhani,Taluka_8,Below 1 Lakh,Yes,Data Analytics,TC_0013,2025-07-23,Completed,43.0,No,,Placed,IBM,Pharmacy Assistant,58189.0,,Parbhani,3.0,Yes
PART_00048,Sanjay Gupta 82,23,Other,Graduate,Amravati,Taluka_3,3-5 Lakhs,No,Customer Service,TC_0450,2026-06-01,Certified,97.0,Yes,2026-09-29,Placed,Wipro,Retail Associate,59112.0,2026-10-05,Aurangabad,,
PART_00049,Sunita Kaur 65,27,Other,Diploma,Akola,Taluka_9,1-3 Lakhs,Yes,Electrician Training,TC_0386,2026-02-18,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00050,Sanjay Gupta 95,23,Female,10th Pass,Nagpur,Taluka_9,Above 10 Lakhs,Yes,Medical Lab Technology,TC_0264,2026-07-26,Ongoing,,No,,Not Applicable,,,,,,2.0,Yes
PART_00051,Rekha Pillai 87,22,Other,Post Graduate,Amravati,Taluka_7,Below 1 Lakh,No,Food Processing,TC_0217,2026-07-06,Certified,88.0,Yes,2026-11-07,Not Placed,,,,,,,
PART_00052,Usha Menon 64,36,Female,Post Graduate,Amravati,Taluka_2,5-10 Lakhs,Yes,Medical Lab Technology,TC_0476,2025-05-18,Completed,66.0,No,,Self Employed,,,,,,3.0,Maybe
PART_00053,Usha Menon 4,32,Male,Graduate,Sangli,Taluka_4,3-5 Lakhs,No,Food Processing,TC_0293,2025-08-05,Certified,89.0,Yes,2025-11-19,Not Placed,,,,,,,
PART_00054,Rekha Pillai 96,26,Other,12th Pass,Sangli,Taluka_3,Below 1 Lakh,No,Full Stack Development,TC_0084,2025-10-21,Completed,77.0,No,,Self Employed,,,,,,3.0,Yes
PART_00055,Usha Menon 81,24,Other,Diploma,Akola,Taluka_1,1-3 Lakhs,No,Retail Management,TC_0191,2025-01-13,Dropped Out,,No,,Not Applicable,,,,,,,
PART_00056,Anil Kamble 84,30,Other,12th Pass,Jalgaon,Taluka_3,5-10 Lakhs,Yes,Customer Service,TC_0191,2025-03-27,Ongoing,,No,,Not Applicable,,,,,,3.0,Yes
PART_00057,Nitin Bhosale 70,38,Male,12th Pass,Parbhani,Taluka_8,Below 1 Lakh,Yes,CNC Operation,TC_0035,2025-08-11,Ongoing,,No,,Not Applicable,,,,,,1.0,Yes
PART_00058,Sunita Kaur 75,36,Male,12th Pass,Nashik,Taluka_4,Above 10 Lakhs,No,Warehouse Management,TC_0497,2025-10-24,Ongoing,,No,,Not Applicable,,,,,,2.0,Yes
PART_00059,Sanjay Gupta 54,38,Other,10th Pass,Ahmednagar,Taluka_9,5-10 Lakhs,No,Full Stack Development,TC_0485,2026-04-03,Certified,65.0,Yes,2026-08-08,Placed,IBM,Logistics Coordinator,15228.0,2026-10-06,Pune,,
PART_00060,Rekha Pillai 63,21,Male,Diploma,Bhiwandi,Taluka_10,1-3 Lakhs,Yes,Retail Management,TC_0046,2025-06-29,Ongoing,,No,,Not Applicable,,,,,,5.0,Maybe
